GENESIS-Tabelle: 23211-0002
Gestorbene: Deutschland, Jahre, Todesursachen, Geschlecht;;;;
Todesursachenstatistik;;;;
Deutschland;;;;
Gestorbene (Anzahl);;;;
;;Geschlecht;Geschlecht;Geschlecht
;;männlich;weiblich;Insgesamt
1980;Bestimmte infektiöse und parasitäre Krankheiten;3221;2542;5763
1980;Tuberkulose einschließlich ihrer Folgezustände;1783;775;2558
1980;Meningokokkeninfektion;59;60;119
1980;Virushepatitis;92;96;188
1980;HIV-Krankheit;-;-;-
1980;Neubildungen;99691;101393;201084
1980;Bösartige Neubildungen (BN);95970;96749;192719
1980;BN der Lippe, der Mundhöhle und des Pharynx;1766;644;2410
1980;BN des Ösophagus;1991;705;2696
1980;BN des Magens;11915;10961;22876
1980;BN des Dickdarms;6820;10282;17102
1980;BN des Rektums, des Anus und am Rektosigmoid;5170;5414;10584
1980;BN der Leber, der Gallenwege und des Pankreas;7369;11131;18500
1980;BN der Leber und der intrahepatischen Gallengänge;1876;1865;3741
1980;BN des Pankreas;4009;4427;8436
1980;BN d. Larynx, d. Trachea, d. Bronchien u. d. Lunge;27915;4894;32809
1980;BN der Bronchien und der Lunge;26536;4737;31273
1980;Melanom und sonstige bösartige Neubild. der Haut;976;1075;2051
1980;Bösartiges Melanom der Haut;769;827;1596
1980;BN der Brustdrüse;137;14780;14917
1980;BN der Genital- und Harnorgane;16455;18919;35374
1980;BN der Cervix uteri;-;3318;3318
1980;BN des Corpus uteri u. Uterus, Teil n.n. bezeichn.;-;3709;3709
1980;BN des Ovars;-;5580;5580
1980;BN der Prostata;8818;-;8818
1980;BN der Niere, ausgenommen Nierenbecken;2473;1776;4249
1980;BN der Harnblase;4158;1659;5817
1980;BN d. lymphat., blutbild. u. verwandten Gewebes;5396;5379;10775
1980;Leukämie;3010;3017;6027
1980;Gutartige Neubildungen;373;481;854
1980;Krankheiten des Blutes u. der blutbildenden Organe;911;1339;2250
1980;Endokrine, Ernährungs- u. Stoffwechselkrankheiten;7331;14545;21876
1980;Diabetes mellitus;6282;12613;18895
1980;Psychische und Verhaltensstörungen;3962;2522;6484
1980;Psychische und Verhaltensstörungen durch Alkohol;2878;862;3740
1980;Psych. u. Verhaltensstörungen d.a.psychotr. Subst.;367;155;522
1980;Krankheiten d. Nervensystems u. d. Sinnesorgane;4514;4726;9240
1980;Meningitis;272;230;502
1980;Krankheiten des Kreislaufsystems;221458;279023;500481
1980;Hypertonie (Hochdruckkrankheit);10711;21877;32588
1980;Ischämische Herzkrankheiten;88332;72187;160519
1980;Akuter oder rezidivierender Myokardinfarkt;56926;35875;92801
1980;Sonstige Formen der Herzkrankheit;38942;59160;98102
1980;Sonstige Krankheiten des Endokards;1288;2075;3363
1980;Zerebrovaskuläre Krankheiten;48079;75477;123556
1980;Schlaganfall, nicht als Blutung oder Infarkt bez.;26647;41136;67783
1980;Krankheiten der Arterien, Arteriolen und Kapillare;26761;39531;66292
1980;Krankheiten des Atmungssystems;33255;21851;55106
1980;Grippe;317;450;767
1980;Pneumonie;7818;9495;17313
1980;Chronische Krankheiten der unteren Atemwege;21547;9525;31072
1980;Asthma;3612;2675;6287
1980;COVID-19, Virus nachgewiesen;-;-;-
1980;COVID-19, Virus nicht nachgewiesen;-;-;-
1980;Krankheiten des Verdauungssystems;25179;21973;47152
1980;Ulcus ventriculi, duodeni, pepticum, pept. jejuni;3061;2192;5253
1980;Krankheiten der Leber;13432;7115;20547
1980;Alkoh.Leberkh.,Chron.Hepatitis,Leberfibr.u.-zirr.;12640;6472;19112
1980;Krankheiten der Haut und der Unterhaut;241;548;789
1980;Krankh. des Muskel-Skelett-Systems u. Bindegewebes;1027;2724;3751
1980;Chronische Polyarthritis und Arthrose;407;1402;1809
1980;Krankheiten des Urogenitalsystems;7863;6930;14793
1980;Krankheiten der Niere;4917;6410;11327
1980;Schwangerschaft, Geburt und Wochenbett;-;171;171
1980;Best.Zustände mit Ursprung in der Perinatalperiode;3146;2144;5290
1980;Angeb. Fehlbildungen,Deformitäten,Chromosomenanom.;2070;1745;3815
1980;Angeborene Fehlbildungen des Nervensystems;360;334;694
1980;Angeborene Fehlbildungen des Kreislaufsystems;961;755;1716
1980;Symptome und abnorme klinische und Laborbefunde;8322;10333;18655
1980;Plötzlicher Kindstod;382;280;662
1980;Sonst. ungenau bezeichnete u. unbek. Todesursachen;5424;4192;9616
1980;Äußere Ursachen von Morbidität und Mortalität;33726;21930;55656
1980;Unfälle einschließlich Spätfolgen;20298;14108;34406
