TIME,Value
2000W01,"18,266"
2000W02,"18,46"
2000W03,"19,136"
2000W04,"19,715"
2000W05,"20,39"
2000W06,"19,229"
2000W07,"18,146"
2000W08,"17,432"
2000W09,"17,221"
2000W10,"16,908"
2000W11,"16,227"
2000W12,"16,34"
2000W13,"16,238"
2000W14,"15,915"
2000W15,"15,997"
2000W16,"16,082"
2000W17,"15,618"
2000W18,"15,142"
2000W19,"15,384"
2000W20,"15,311"
2000W21,"14,67"
2000W22,"15,271"
2000W23,"15,292"
2000W24,"14,695"
2000W25,"15,949"
2000W26,"14,549"
2000W27,"14,642"
2000W28,"14,442"
2000W29,"14,737"
2000W30,"14,936"
2000W31,"14,96"
2000W32,"14,735"
2000W33,"15,503"
2000W34,"14,168"
2000W35,"14,472"
2000W36,"14,816"
2000W37,"14,959"
2000W38,"14,775"
2000W39,"15,062"
2000W40,"14,87"
2000W41,"15,824"
2000W42,"15,623"
2000W43,"15,623"
2000W44,"15,759"
2000W45,"16,051"
2000W46,"16,102"
2000W47,"16,006"
2000W48,"16,027"
2000W49,"16,034"
2000W50,"16,247"
2000W51,"16,314"
2000W52,"17,283"
2001W01,"17,404"
2001W02,"16,495"
2001W03,"16,597"
2001W04,"17,151"
2001W05,"16,748"
2001W06,"16,684"
2001W07,"16,041"
2001W08,"16,142"
2001W09,"17,027"
2001W10,"16,689"
2001W11,"16,527"
2001W12,"16,321"
2001W13,"16,229"
2001W14,"16,368"
2001W15,"15,713"
2001W16,"16,217"
2001W17,"16,295"
2001W18,"16,038"
2001W19,"15,87"
2001W20,"15,207"
2001W21,"15,575"
2001W22,"15,431"
2001W23,"15,008"
2001W24,"15,314"
2001W25,"14,859"
2001W26,"15,789"
2001W27,"15,885"
2001W28,"15,079"
2001W29,"15,028"
2001W30,"15,785"
2001W31,"15,524"
2001W32,"14,348"
2001W33,"15,588"
2001W34,"15,339"
2001W35,"14,74"
2001W36,"14,52"
2001W37,"15,2"
2001W38,"15,196"
2001W39,"15,389"
2001W40,"15,736"
2001W41,"15,469"
2001W42,"15,163"
2001W43,"15,274"
2001W44,"15,315"
2001W45,"15,636"
2001W46,"16,186"
2001W47,"16,379"
2001W48,"16,268"
2001W49,"16,036"
2001W50,"16,308"
2001W51,"17,347"
2001W52,"17,687"
2002W01,"17,214"
2002W02,"17,32"
2002W03,"17,054"
2002W04,"17,284"
2002W05,"16,514"
2002W06,"16,341"
2002W07,"16,182"
2002W08,"16,869"
2002W09,"16,791"
2002W10,"17,136"
2002W11,"17,145"
2002W12,"16,937"
2002W13,"16,709"
2002W14,"17,219"
2002W15,"17,155"
2002W16,"16,445"
2002W17,"16,382"
2002W18,"15,91"
2002W19,"16,037"
2002W20,"15,683"
2002W21,"15,296"
2002W22,"14,857"
2002W23,"15,708"
2002W24,"15,313"
2002W25,"16,588"
2002W26,"14,797"
2002W27,"14,938"
2002W28,"15,31"
2002W29,"14,692"
2002W30,"14,912"
2002W31,"16,118"
2002W32,"14,599"
2002W33,"15,129"
2002W34,"15,441"
2002W35,"15,089"
2002W36,"14,647"
2002W37,"14,769"
2002W38,"14,973"
2002W39,"15,467"
2002W40,"15,492"
2002W41,"15,84"
2002W42,"16,212"
2002W43,"16,491"
2002W44,"15,963"
2002W45,"15,979"
2002W46,"16,514"
2002W47,"16,328"
2002W48,"16,272"
2002W49,"16,6"
2002W50,"17,527"
2002W51,"18,239"
2002W52,"18,341"
2003W01,"18,235"
2003W02,"18,265"
2003W03,"17,861"
2003W04,"17,509"
2003W05,"17,233"
2003W06,"17,372"
2003W07,"17,256"
2003W08,"18,607"
2003W09,"20,295"
2003W10,"20,076"
2003W11,"19,138"
2003W12,"18,248"
2003W13,"17,67"
2003W14,"16,873"
2003W15,"16,478"
2003W16,"16,376"
2003W17,"16,043"
2003W18,"15,575"
2003W19,"15,668"
2003W20,"15,042"
2003W21,"15,379"
2003W22,"15,676"
2003W23,"16,405"
2003W24,"15,373"
2003W25,"14,603"
2003W26,"15,143"
2003W27,"14,869"
2003W28,"15,022"
2003W29,"16,195"
2003W30,"16,035"
2003W31,"15,089"
2003W32,"18,306"
2003W33,"18,81"
2003W34,"15,244"
2003W35,"14,576"
2003W36,"15,043"
2003W37,"14,776"
2003W38,"15,48"
2003W39,"14,986"
2003W40,"14,924"
2003W41,"15,187"
2003W42,"15,372"
2003W43,"15,928"
2003W44,"16,302"
2003W45,"15,543"
2003W46,"15,841"
2003W47,"15,647"
2003W48,"15,251"
2003W49,"15,479"
2003W50,"16,419"
2003W51,"16,414"
2003W52,"16,811"
2004W01,"17,143"
2004W02,"17,219"
2004W03,"17,098"
2004W04,"16,603"
2004W05,"16,996"
2004W06,"16,83"
2004W07,"16,318"
2004W08,"16,124"
2004W09,"16,595"
2004W10,"16,512"
2004W11,"17,128"
2004W12,"17,067"
2004W13,"15,632"
2004W14,"16,393"
2004W15,"15,681"
2004W16,"15,741"
2004W17,"15,554"
2004W18,"15,652"
2004W19,"15,213"
2004W20,"14,908"
2004W21,"14,872"
2004W22,"14,939"
2004W23,"15,179"
2004W24,"15,762"
2004W25,"14,741"
2004W26,"14,541"
2004W27,"14,705"
2004W28,"14,503"
2004W29,"14,968"
2004W30,"15,046"
2004W31,"14,469"
2004W32,"15,579"
2004W33,"15,293"
2004W34,"14,486"
2004W35,"14,297"
2004W36,"14,639"
2004W37,"14,85"
2004W38,"14,63"
2004W39,"14,813"
2004W40,"15,098"
2004W41,"15,159"
2004W42,"15,328"
2004W43,"15,89"
2004W44,"15,522"
2004W45,"14,753"
2004W46,"15,612"
2004W47,"15,953"
2004W48,"16,003"
2004W49,"15,923"
2004W50,"16,079"
2004W51,"16,51"
2004W52,"16,861"
2004W53,"16,852"
2005W01,"17,002"
2005W02,"16,361"
2005W03,"16,504"
2005W04,"16,588"
2005W05,"16,859"
2005W06,"17,632"
2005W07,"18,284"
2005W08,"19,026"
2005W09,"19,892"
2005W10,"19,789"
2005W11,"19,238"
2005W12,"17,821"
2005W13,"16,354"
2005W14,"16,295"
2005W15,"16,164"
2005W16,"15,549"
2005W17,"15,615"
2005W18,"15,426"
2005W19,"15,436"
2005W20,"15,39"
2005W21,"16,264"
2005W22,"15,125"
2005W23,"14,245"
2005W24,"15,138"
2005W25,"15,968"
2005W26,"14,66"
2005W27,"14,215"
2005W28,"15,069"
2005W29,"14,291"
2005W30,"14,991"
2005W31,"13,832"
2005W32,"14,461"
2005W33,"15,091"
2005W34,"14,193"
2005W35,"15,068"
2005W36,"14,807"
2005W37,"14,079"
2005W38,"14,323"
2005W39,"14,531"
2005W40,"14,882"
2005W41,"14,972"
2005W42,"15,427"
2005W43,"15,485"
2005W44,"15,149"
2005W45,"15,314"
2005W46,"15,611"
2005W47,"16,28"
2005W48,"16,866"
2005W49,"16,356"
2005W50,"16,686"
2005W51,"16,5"
2005W52,"16,825"
2006W01,"16,671"
2006W02,"16,649"
