TIME,GEO,Value
2000W01,Germany (until 1990 former territory of the FRG),"18,266"
2000W01,Baden-W�rttemberg,"2,245"
2000W01,Bayern,"2,554"
2000W01,Berlin,756
2000W01,Brandenburg,519
2000W01,Bremen,169
2000W01,Hamburg,348
2000W01,Hessen,"1,381"
2000W01,Mecklenburg-Vorpommern,357
2000W01,Niedersachsen,"1,78"
2000W01,Nordrhein-Westfalen,"4,094"
2000W01,Rheinland-Pfalz,921
2000W01,Saarland,245
2000W01,Sachsen,"1,051"
2000W01,Sachsen-Anhalt,650
2000W01,Schleswig-Holstein,627
2000W01,Th�ringen,569
2000W02,Germany (until 1990 former territory of the FRG),"18,46"
2000W02,Baden-W�rttemberg,"2,228"
2000W02,Bayern,"2,615"
2000W02,Berlin,729
2000W02,Brandenburg,534
2000W02,Bremen,173
2000W02,Hamburg,380
2000W02,Hessen,"1,447"
2000W02,Mecklenburg-Vorpommern,345
2000W02,Niedersachsen,"1,774"
2000W02,Nordrhein-Westfalen,"4,114"
2000W02,Rheinland-Pfalz,866
2000W02,Saarland,280
2000W02,Sachsen,"1,13"
2000W02,Sachsen-Anhalt,642
2000W02,Schleswig-Holstein,626
2000W02,Th�ringen,577
2000W03,Germany (until 1990 former territory of the FRG),"19,136"
2000W03,Baden-W�rttemberg,"2,257"
2000W03,Bayern,"2,841"
2000W03,Berlin,765
2000W03,Brandenburg,559
2000W03,Bremen,197
2000W03,Hamburg,392
2000W03,Hessen,"1,39"
2000W03,Mecklenburg-Vorpommern,385
2000W03,Niedersachsen,"1,738"
2000W03,Nordrhein-Westfalen,"4,3"
2000W03,Rheinland-Pfalz,909
2000W03,Saarland,297
2000W03,Sachsen,"1,197"
2000W03,Sachsen-Anhalt,663
2000W03,Schleswig-Holstein,653
2000W03,Th�ringen,593
2000W04,Germany (until 1990 former territory of the FRG),"19,715"
2000W04,Baden-W�rttemberg,"2,34"
2000W04,Bayern,"2,858"
2000W04,Berlin,802
2000W04,Brandenburg,578
2000W04,Bremen,172
2000W04,Hamburg,403
2000W04,Hessen,"1,434"
2000W04,Mecklenburg-Vorpommern,374
2000W04,Niedersachsen,"1,855"
2000W04,Nordrhein-Westfalen,"4,5"
2000W04,Rheinland-Pfalz,930
2000W04,Saarland,304
2000W04,Sachsen,"1,223"
2000W04,Sachsen-Anhalt,649
2000W04,Schleswig-Holstein,682
2000W04,Th�ringen,611
2000W05,Germany (until 1990 former territory of the FRG),"20,39"
2000W05,Baden-W�rttemberg,"2,365"
2000W05,Bayern,"2,911"
2000W05,Berlin,806
2000W05,Brandenburg,582
2000W05,Bremen,165
2000W05,Hamburg,478
2000W05,Hessen,"1,427"
2000W05,Mecklenburg-Vorpommern,409
2000W05,Niedersachsen,"1,986"
2000W05,Nordrhein-Westfalen,"4,603"
2000W05,Rheinland-Pfalz,"1,044"
2000W05,Saarland,301
2000W05,Sachsen,"1,219"
2000W05,Sachsen-Anhalt,730
2000W05,Schleswig-Holstein,696
2000W05,Th�ringen,668
2000W06,Germany (until 1990 former territory of the FRG),"19,229"
2000W06,Baden-W�rttemberg,"2,148"
2000W06,Bayern,"2,823"
2000W06,Berlin,738
2000W06,Brandenburg,609
2000W06,Bremen,177
2000W06,Hamburg,401
2000W06,Hessen,"1,389"
2000W06,Mecklenburg-Vorpommern,421
2000W06,Niedersachsen,"1,824"
2000W06,Nordrhein-Westfalen,"4,348"
2000W06,Rheinland-Pfalz,"1,001"
2000W06,Saarland,302
2000W06,Sachsen,"1,087"
2000W06,Sachsen-Anhalt,685
2000W06,Schleswig-Holstein,672
2000W06,Th�ringen,604
2000W07,Germany (until 1990 former territory of the FRG),"18,146"
2000W07,Baden-W�rttemberg,"2,096"
2000W07,Bayern,"2,618"
2000W07,Berlin,704
2000W07,Brandenburg,609
2000W07,Bremen,188
2000W07,Hamburg,382
2000W07,Hessen,"1,238"
2000W07,Mecklenburg-Vorpommern,363
2000W07,Niedersachsen,"1,771"
2000W07,Nordrhein-Westfalen,"4,053"
2000W07,Rheinland-Pfalz,948
2000W07,Saarland,272
2000W07,Sachsen,"1,091"
2000W07,Sachsen-Anhalt,640
2000W07,Schleswig-Holstein,619
2000W07,Th�ringen,554
2000W08,Germany (until 1990 former territory of the FRG),"17,432"
2000W08,Baden-W�rttemberg,"1,877"
2000W08,Bayern,"2,428"
2000W08,Berlin,657
2000W08,Brandenburg,501
2000W08,Bremen,162
2000W08,Hamburg,390
2000W08,Hessen,"1,275"
2000W08,Mecklenburg-Vorpommern,380
2000W08,Niedersachsen,"1,743"
2000W08,Nordrhein-Westfalen,"4,038"
2000W08,Rheinland-Pfalz,920
2000W08,Saarland,270
2000W08,Sachsen,"1,041"
2000W08,Sachsen-Anhalt,618
2000W08,Schleswig-Holstein,621
2000W08,Th�ringen,511
2000W09,Germany (until 1990 former territory of the FRG),"17,221"
2000W09,Baden-W�rttemberg,"1,905"
2000W09,Bayern,"2,426"
2000W09,Berlin,672
2000W09,Brandenburg,514
2000W09,Bremen,170
2000W09,Hamburg,388
2000W09,Hessen,"1,271"
2000W09,Mecklenburg-Vorpommern,372
2000W09,Niedersachsen,"1,666"
2000W09,Nordrhein-Westfalen,"3,914"
2000W09,Rheinland-Pfalz,850
2000W09,Saarland,247
2000W09,Sachsen,"1,021"
2000W09,Sachsen-Anhalt,660
2000W09,Schleswig-Holstein,631
2000W09,Th�ringen,514
2000W10,Germany (until 1990 former territory of the FRG),"16,908"
2000W10,Baden-W�rttemberg,"1,92"
2000W10,Bayern,"2,344"
2000W10,Berlin,662
2000W10,Brandenburg,500
2000W10,Bremen,165
2000W10,Hamburg,395
2000W10,Hessen,"1,209"
2000W10,Mecklenburg-Vorpommern,321
2000W10,Niedersachsen,"1,66"
2000W10,Nordrhein-Westfalen,"3,859"
2000W10,Rheinland-Pfalz,882
2000W10,Saarland,248
2000W10,Sachsen,971
2000W10,Sachsen-Anhalt,621
2000W10,Schleswig-Holstein,611
2000W10,Th�ringen,540
2000W11,Germany (until 1990 former territory of the FRG),"16,227"
2000W11,Baden-W�rttemberg,"1,852"
2000W11,Bayern,"2,269"
2000W11,Berlin,646
2000W11,Brandenburg,507
2000W11,Bremen,160
2000W11,Hamburg,332
2000W11,Hessen,"1,165"
2000W11,Mecklenburg-Vorpommern,320
2000W11,Niedersachsen,"1,646"
2000W11,Nordrhein-Westfalen,"3,588"
2000W11,Rheinland-Pfalz,815
2000W11,Saarland,216
2000W11,Sachsen,996
2000W11,Sachsen-Anhalt,581
2000W11,Schleswig-Holstein,631
2000W11,Th�ringen,503
2000W12,Germany (until 1990 former territory of the FRG),"16,34"
2000W12,Baden-W�rttemberg,"1,846"
2000W12,Bayern,"2,356"
2000W12,Berlin,674
2000W12,Brandenburg,493
2000W12,Bremen,121
2000W12,Hamburg,331
2000W12,Hessen,"1,148"
2000W12,Mecklenburg-Vorpommern,339
